filename,nwords,negative_adjectives_component,social_order_component,action_component,positive_adjectives_component,joy_component,affect_friends_and_family_component,fear_and_digust_component,politeness_component,polarity_nouns_component,polarity_verbs_component,virtue_adverbs_component,positive_nouns_component,respect_component,trust_verbs_component,failure_component,well_being_component,economy_component,certainty_component,positive_verbs_component,objects_component
202003.txt, 4483, -0.8380555565116777,0.1320268727828081,0.42595257872620074,-0.22145047563202608,0.5248693523781611,0.12482872194388119,0.06847823069935445,0.10010663141520437,0.7680049853408664,0.3357021333333333,0.35176731126706595,-0.5378716229565661,0.019505782016775827,0.14881956113872213,0.023408371724561203,0.04045393239823752,0.17656875085159277,0.06071605731703174,0.06825893374972115,0.06393845801173553
202004.txt, 4458, -1.0680673875262412,0.19801542450432788,0.46053327332792593,-0.15306892597876662,0.32532841996644357,0.14978121806219158,0.12191456507546934,0.11730614979349369,0.3323570601870239,0.281584113095238,0.7820056818020825,-0.1746419919246298,0.02662101851874829,0.18493368552690692,0.04495594644923663,0.05122228987266577,0.2902495167622013,0.10426989275508515,0.4335645281890234,0.08327356854754303
202005.txt, 4436, 0.09038720172011178,0.1996606098873038,0.4733968052495754,-0.21494606746211883,0.4050113800563989,0.14673754323356983,0.19750306325372136,0.11068001903751026,0.18604274070785867,0.10560630769230776,0.11610440970655286,-0.45125482963084407,0.03240623635592213,0.1349518158284763,0.05687996012855372,0.08348469853630783,0.32190031808475345,0.08020712212218636,-0.34359233543733086,0.06647857592250632
202006.txt, 4453, -0.7515438189068997,0.15573809241789832,0.4248051150126697,-0.22034049544300036,0.2631275256999206,0.14049679832544637,0.17150675922610648,0.16513624648524894,0.24728732151274388,0.26742959848484854,0.3824540530067855,-0.3245945269641655,0.023158478965355143,0.1782366021256873,0.06516785830494974,0.0670122875572036,0.33999667228567443,0.07820429606192,-0.11706570209489593,0.07103795629515931
202007.txt, 4570, -0.6463439009623755,0.18152408979284723,0.45992246838447626,-0.2406837562343408,0.2457460363123456,0.14607675249351346,0.19275863589184886,0.1556100120679352,0.17384936348587093,0.16176672327044023,0.12848548629599377,-0.3465371085791896,0.02363179263256579,0.2275041895802589,0.041897503477560584,0.07840571677743913,0.38019288974274335,0.08827002365954166,0.3026083150984683,0.07899282947238558
202008.txt, 4493, -0.05005315557909956,0.15984456922689022,0.4076990205602269,-0.24227513810746298,0.24847522067139413,0.1523877400790789,0.1893434848761379,0.11868314121562333,0.2968093635691969,0.1332389069767441,0.11795480136457749,-0.21469924756248518,0.020826574450563982,0.1496254984720488,0.03640934682849075,0.07722471070988725,0.33082444090926627,0.08119881684557029,-0.473871563650984,0.09364403459479953
202009.txt, 4496, 0.21355752038075185,0.1988427088162671,0.42671150797377966,-0.2279540810399253,0.35386538855205113,0.1621347666614325,0.18932033429612685,0.12708197700946458,0.13898250997410935,0.33837905172413785,0.10349565516202526,-0.3344632772991197,0.01368693081755466,0.17413051572424218,0.022946201006645715,0.07926992808668486,0.24049048114865537,0.06979584466624641,-0.5686401372648704,0.08072357294609685
202010.txt, 4540, -0.5842916783861333,0.15995420274035854,0.5119760063119874,-0.2466006278693187,0.25664650565898317,0.16494166129859023,0.1584166901184282,0.15399856311271126,0.21959168396738107,0.24854588198757765,0.10426696417065592,-0.35492209178486717,0.020971915345371787,0.153809662734296,0.05848081618416463,0.0787823725694565,0.2962596238669798,0.05930799081215268,-0.2619846662148424,0.07666010013310873
202011.txt, 4513, 0.17590040890403302,0.13842738961815648,0.7746807109505545,-0.16575587643686973,0.19474304475390933,0.16763873430396947,0.16007998645478574,0.10264560900802955,0.13817653670309404,0.1833342519685039,0.08863670457709069,-0.3647377457571332,0.016587051139148615,0.13116199194139908,0.058585251495236496,0.07981743935446647,0.31478515324833534,0.060480581288730684,-0.10600138729660205,0.07577432695727879
202012.txt, 1876, 0.274011299204665,0.13427974363254205,0.4701448206087895,-0.2816110594711337,0.22271179152682227,0.19672724712395417,0.18649285941410865,0.12130438352341838,0.11745460283169294,0.3044187924528302,0.0010170575692963753,-0.5767404391416777,0.021933898922357087,0.10161692379339157,0.04138228961108337,0.09991667648407875,0.31998218491514463,0.06381417402819135,-0.6204600213219615,0.11066028463954518
