filename,nwords,negative_adjectives_component,social_order_component,action_component,positive_adjectives_component,joy_component,affect_friends_and_family_component,fear_and_digust_component,politeness_component,polarity_nouns_component,polarity_verbs_component,virtue_adverbs_component,positive_nouns_component,respect_component,trust_verbs_component,failure_component,well_being_component,economy_component,certainty_component,positive_verbs_component,objects_component
202003.txt, 4559, 0.45613044783081225,0.18384712141382706,0.5767261094727116,-0.22196631560600416,0.26058634778919887,0.1650355798663211,0.20069755376099802,0.16739740756995503,0.21016885797787618,0.1544788373493976,0.28481969594442896,-0.24472559908119765,0.025173027813390453,0.13715594811093212,0.05062240656496453,0.08006216087386485,0.3338317454723446,0.08762527157832409,-0.09935673130690266,0.06500937938460899
202004.txt, 4661, 0.642059684926551,0.17721132429647365,0.3982366120673031,-0.213636970006349,0.312630839102991,0.1602915052644483,0.2779625950673671,0.15080178927719998,0.0018806761608005287,0.15479630666666672,0.15320991891015445,-0.4358483158120575,0.015090840036481003,0.1664027508936527,0.056459822086068694,0.1368565173140844,0.31427445162024936,0.08195584091324701,-0.1028570655671949,0.0747927117903637
202005.txt, 4745, 0.6189494498016481,0.17334902146533412,0.3160942904036733,-0.15970453386107988,0.33003838548752823,0.2068777304770434,0.2818656048100816,0.154759218033258,0.11945563296646065,0.29262506779661024,0.26060462752942437,-0.3928692190609998,0.024536891398492425,0.17070632603249522,0.03481694344772347,0.16054897958192157,0.3922106727135299,0.0661561196651522,-0.3291928345626975,0.08305200661731313
202006.txt, 4721, 0.6335758529068152,0.14336660891332342,0.35933625640510186,-0.23032506077134604,0.3203722205261884,0.18338602934620696,0.3456389398108613,0.14161918054916012,-0.19766974773788826,0.22924594262295073,0.18127038830598152,-0.615844698087721,0.01776077381134264,0.17560095659730024,0.03459511034786121,0.181964292993327,0.47402925777482746,0.0632358926591052,-0.0780595001059098,0.07306478517170995
202007.txt, 4804, 0.5850143842921699,0.1844522047169686,0.4346073786566834,-0.24038806115125205,0.274521420493829,0.14794740818463725,0.36793432335956927,0.1406688303673956,-0.2882666546235514,0.2211278222222221,0.13435105699577354,-0.584445072837087,0.022849199502029845,0.19672996641688567,0.04507564103360257,0.21492169751334705,0.46385466465083547,0.06922699743010974,0.069321898417985,0.07106103391448468
202008.txt, 4738, 0.45617214852800614,0.14927064629635456,0.4111724271683749,-0.2899551080574579,0.22040814748348148,0.14212294909570253,0.33283259277550903,0.14401161332688425,-0.25742026320000744,0.21201344329896904,0.26274082764339834,-0.47658519438723324,0.01827817232188658,0.1467746028906375,0.05678648606728078,0.17012997625736667,0.44415764904216026,0.06178298958364966,-0.03171235602725683,0.06476255352273419
202009.txt, 4761, 0.5228219236308883,0.10892137867907016,0.28848245649362775,-0.2966870953310561,0.2546490501752325,0.13741534653001192,0.35344173559310615,0.1303064675286116,-0.34685031650904824,0.14814597368421062,0.020562663748217424,-0.5633905991706147,0.024121244630943443,0.18065257506231044,0.024826232926331085,0.18940269218097927,0.47914674717786626,0.04789511828096353,-0.036446522734056304,0.06775870998644581
202010.txt, 4724, 0.5786734910241484,0.18092559902993713,0.41001799078619194,-0.1851276998959455,0.3776383202058663,0.17643297799462668,0.34517276817592396,0.15109823404946388,-0.18363101153088915,0.02694438095238097,0.17248677758906739,-0.47800608672008654,0.018741410145788284,0.18744250357036168,0.05701458326015389,0.16227555771985713,0.40476629471093906,0.062445234780886524,0.02948705568667015,0.0653859899900162
202011.txt, 4824, 0.2542024497612593,0.13901306389998086,0.31566648145708553,-0.24591596105413488,0.25620174366913334,0.1543775186686282,0.3126980991772508,0.1634553437888436,-0.14595611309294776,0.3034970252100838,0.19195345842707387,-0.4458238319791928,0.01589433628292189,0.1856072965936843,0.03533150912579678,0.16578645416789767,0.42402233021245916,0.07427773395319999,0.32078732562676815,0.06297062553046041
202012.txt, 3368, 0.370110650136878,0.1688815938598891,0.36802399766853416,-0.20373904851579508,0.2904897206798524,0.15271360581526539,0.329480348882249,0.1332576402779514,-0.11763410153347385,0.1868364252873563,0.1052346161976336,-0.6087468575371053,0.017692145554165845,0.14756043369907032,0.04514309559213309,0.15838190153233442,0.41134685344462585,0.08102839604959171,-0.22121899612451548,0.0706243236775107
