filename,nwords,negative_adjectives_component,social_order_component,action_component,positive_adjectives_component,joy_component,affect_friends_and_family_component,fear_and_digust_component,politeness_component,polarity_nouns_component,polarity_verbs_component,virtue_adverbs_component,positive_nouns_component,respect_component,trust_verbs_component,failure_component,well_being_component,economy_component,certainty_component,positive_verbs_component,objects_component
202003.txt, 4529, -0.35865028788993225,0.2907553050524339,0.8107726463497493,-0.1538537077873645,0.3967155056462249,0.21620514449199313,0.18510085896092962,0.09683962869932146,0.24038524109584064,0.26073959808612424,0.10054081670607615,-0.13451488008211337,0.020124715813734144,0.07615080070953173,0.025239804679913932,0.08659179125389915,0.15989817604169815,0.07062879398970105,-0.42046961955768253,0.09993168889731449
202004.txt, 4635, 0.3211814065085401,0.31853376068746325,0.6786271845611471,-0.1767484809398736,0.32971161815392525,0.1490592623422599,0.10379949769231862,0.1842930171720959,0.23044625744116357,0.08431724489795936,0.19426016242292024,-0.28401121898597625,0.026533663474282616,0.1888881976713078,0.20292972462279618,0.11103710080923532,0.15400750049863232,0.0881147454557849,0.5873278317152104,0.07693863820981717
202005.txt, 2024, -0.6160956794843628,0.19633167478498972,0.6683643522139764,-0.03495435122190578,0.6746930375213227,0.19540803065378948,0.0964800894342656,0.2295681318074899,0.41254071429783207,0.24180353333333343,0.30137561822235737,-0.5068710474308299,0.025205290289976243,0.11091070328623065,0.08132246574167941,0.027476058722395495,0.25002425439192333,0.09123885998262496,-0.3343799407114624,0.05849514613698661
202006.txt, 1001, 0.7567537772333458,0.2543465441633157,0.6214805001498678,-0.13617170143503401,0.40434157194193243,0.17988856653430718,0.1491165708294455,0.19770602568163542,0.2790021961241108,0.17533632653061235,0.3217440553796486,-0.47298901098901097,0.03144517226138263,0.15995635932042962,0.10733921094787631,0.05393861563517714,0.3556247278806991,0.07870467729942085,-0.5189114885114885,0.07780978315851879
202007.txt, 1927, 0.8197805962651806,0.3727619922522431,0.5699118471856113,-0.31682104370062314,0.1917523350567851,0.14685015094099077,0.12215867054101336,0.18161366321324537,0.11059254774020179,-0.015435490740740673,0.13121790911790912,-0.6542489518208252,0.01993401617734962,0.06668401493827203,0.0698390258069826,0.04513605907945361,0.2794035493148634,0.041965072847208545,-0.2817472755578619,0.08055531570111077
202008.txt, 1309, -0.41132508756538594,0.2999451504188603,0.6268250179117573,-0.1382086921134756,0.41258398024197285,0.17904927919627756,0.16751507652071018,0.2618007413224305,0.23930492035428355,0.04974942647058832,0.253134078886867,-0.3402504031915797,0.04055877265378571,0.1081042366206525,0.08179510465805592,0.06465847477805536,0.4050433435478379,0.0695171664116058,-0.685809094929838,0.10661654583525201
202009.txt, 742, 0.9944972279213772,0.2644837756158511,0.7593379467436071,-0.17334590827662855,0.3250801938035597,0.20791050823172785,0.24328125853125854,0.16679949704059802,-0.12031681053021048,0.08424322222222225,0.37569285714285716,-0.8244635683853578,0.028432028818821273,0.11272775331077219,0.033770200070200075,0.10263564831071154,0.2659369735589247,0.0799672557121497,-0.14108934517203106,0.06767871731079278
202010.txt, 924, -0.5508963374705826,0.3402171602757236,0.6005052389488119,-0.06317754003176979,0.37026035489873793,0.19380788426257983,0.13279983451040506,0.22006513966743602,0.25998270026037096,0.3696840845070422,0.15170485127190786,-0.33516966366966366,0.04783701358902349,0.2570529924664083,0.03796686192468619,0.05922383792280173,0.1372379555356989,0.07246898911865844,-0.16557489177489174,0.06527195683695092
202011.txt, 715, -0.4007229925936011,0.27289820702096645,0.941153392597968,-0.18611579653051347,0.16733769885312613,0.17481065158618034,0.14922564140960365,0.167039862034984,0.3255086086179678,0.16756000000000004,0.09225941313588372,-0.257054463183875,0.04171011053935582,0.11207148229129361,0.07185033131176999,0.07177282663136322,0.2682216796152423,0.0864305488549391,-0.5502797202797203,0.09865748783128733
202012.txt, 87, -0.3282629066611275,0.3841842311775839,0.6575832294696025,-0.1823131117573743,0.011228915662650604,0.10530186547099261,0.1827411785506807,0.22139103448275863,0.48837867722371975,-0.2719325,0.007310344827586207,0.0027241379310344784,0.10897653332915265,0.10469999538383419,0.12486010709504684,0.10212275428323574,0.034457831325301204,0.04562068965517241,-0.872,0.10766178049870267
