filename,nwords,negative_adjectives_component,social_order_component,action_component,positive_adjectives_component,joy_component,affect_friends_and_family_component,fear_and_digust_component,politeness_component,polarity_nouns_component,polarity_verbs_component,virtue_adverbs_component,positive_nouns_component,respect_component,trust_verbs_component,failure_component,well_being_component,economy_component,certainty_component,positive_verbs_component,objects_component
202003.txt, 4279, 0.17032026906711423,0.15497738261810226,0.5004984752067232,-0.25792088715681616,0.24844781388843462,0.16462695521908147,0.17065506291941904,0.11493913510262746,0.19100609073200464,0.2579082721893491,0.08722023356685338,-0.4287743830113719,0.01661762212477147,0.16029646439428075,0.039443749141424414,0.06267700566913925,0.184617344415876,0.06592363434542901,-0.3676250125196141,0.08663009428227633
202004.txt, 4188, -0.3654058900384578,0.14414405738846184,0.4729600541664229,-0.23673361483216995,0.4586971943631258,0.17301692489565046,0.15764372880339125,0.13855741043806377,0.348844230686011,0.2676315714285714,0.046444887177650426,-0.09520457258834766,0.0327618411834896,0.1857285402696936,0.03704789008974702,0.06110773942181881,0.19023248905725212,0.0567318010474289,-0.06569910925626014,0.06938325805342968
202005.txt, 4221, -0.5602913464278079,0.13236426469881604,0.39703637638448697,-0.22510217849253764,0.3296759522998396,0.17146561808482996,0.11406961401729011,0.1936609311658205,0.3020905008076176,0.2600169415584414,0.0900981197906571,-0.23667312248282393,0.04129462323080588,0.14839289542029876,0.05636530691369001,0.08210476672492106,0.23070221256828147,0.04411698537598885,-0.08280417063618088,0.07804914461550058
202006.txt, 4203, -0.6554022419077716,0.15017479642171913,0.4893928677921524,-0.23147897914550541,0.38585561207004454,0.16950069339706408,0.12923968319964912,0.1896058882428161,0.27055424379324267,0.259054409090909,0.018635509701262702,-0.31177548128148636,0.019397435654196268,0.1786398243060675,0.05062033649131432,0.06829259285563385,0.29095506689479145,0.06079114686181359,-0.254218439210088,0.08059978463624634
202007.txt, 4224, 0.4174675468906011,0.12031367868897655,0.40232274203828533,-0.3335373492233411,0.1738856569646291,0.13719119970188018,0.173257517883768,0.15995127328890915,0.18451362305138388,0.17497012244897953,0.2369562678175483,-0.19903642317356737,0.023613408260568194,0.22403272447480707,0.043843547116879045,0.0955631029964559,0.2891347830553824,0.06509002793937539,-0.07026349431818178,0.09131164499732754
202008.txt, 4296, 0.43418910267918653,0.1513859824774741,0.394704381747542,-0.26567199579015877,0.30361742772542116,0.15989407084531967,0.2059581311926709,0.16928960841254206,0.21436665372420785,0.07938548322147654,0.30000117250525904,-0.4241530493482309,0.030471340044177876,0.15379014253805748,0.035557903336773306,0.09583047916590166,0.26285002036253113,0.06867465206366064,-0.2520699016055161,0.09117318103658986
202009.txt, 4259, 0.2675469359377929,0.16525007498998542,0.47118013454913804,-0.20806633584358583,0.27299329002129247,0.1731125670354745,0.13943550290737106,0.17617402599214543,0.17926982018428333,0.17009349999999987,0.2177780576705911,-0.3595960710651953,0.024538029286546553,0.1733978889272058,0.04854917238235644,0.06738699243029364,0.24349360294533207,0.061763174489617705,0.04670801596618928,0.07878348741062316
202010.txt, 4198, 0.7236570011011193,0.1257587065091304,0.41875019694144,-0.25498006732677114,0.20075937077061187,0.1648470428321532,0.1395810361085454,0.17085655098788008,0.15005309077281923,0.432740094017094,0.02105134190884548,-0.20628447408819015,0.025006682940233997,0.1892759009708362,0.046749959659443535,0.06491577082156223,0.21743930685587892,0.0582731443073925,-0.013562378481387473,0.07451864593210121
202011.txt, 4252, -0.7232672952609109,0.1308147860808545,0.46827015976367276,-0.27665162158306167,0.3070005423825053,0.1656388294072054,0.118375024628782,0.18422089742396314,0.22207176686365404,0.38399005035971234,0.17217502604429208,-0.06734058180765609,0.0190844265323285,0.13442846631760522,0.027029346283286272,0.06528707701124473,0.2387191140961033,0.07253385283912603,0.143510839818695,0.06777546703616903
202012.txt, 4076, 0.12693097167190287,0.1258052362989845,0.4668505985710749,-0.26040432822165227,0.31479674355262666,0.15991536983360213,0.09894004948482309,0.18866415939840203,0.2768091296553669,0.218026572463768,0.058678695833217664,-0.3452320902845927,0.02642974693701556,0.2223370325810457,0.05810951843670471,0.05699020429919675,0.2466657091810934,0.0399071600656131,-0.21055667320902852,0.07074501953393536
