filename,nwords,negative_adjectives_component,social_order_component,action_component,positive_adjectives_component,joy_component,affect_friends_and_family_component,fear_and_digust_component,politeness_component,polarity_nouns_component,polarity_verbs_component,virtue_adverbs_component,positive_nouns_component,respect_component,trust_verbs_component,failure_component,well_being_component,economy_component,certainty_component,positive_verbs_component,objects_component
202003.txt, 4676, -0.47578589058387455,0.19526426843178812,0.4708270592674353,-0.2049383500209889,0.3680733002317966,0.18838695429873412,0.1646365600587768,0.1294050725889936,0.2626226721167693,0.26164129896907207,0.306835971618022,-0.3036172939834616,0.029601230543305226,0.20158507749359164,0.06354635987528096,0.0956169343734619,0.23654139939267368,0.07340640817741795,-0.2924200732025411,0.06784109504606667
202004.txt, 4663, 0.4454130899198409,0.20340773815342963,0.5422992491646861,-0.12258826153153973,0.4499814743510306,0.2069457204416294,0.21448556525695736,0.13050797346745419,0.13884543239380975,0.32230135519125674,0.08913991246549385,-0.5917021696185325,0.028906047981563356,0.21585557533350652,0.06723310889219503,0.15599359094690537,0.21738077635089387,0.07746139229891005,-0.04962905159889204,0.0778549365731191
202005.txt, 4688, 0.5729334762714338,0.19138735082458658,0.3975598074871155,-0.16600096830605607,0.31535188206421344,0.225826484408508,0.1869998158440587,0.15010963483425702,0.25252783211056734,0.30212704790419154,0.04410605990657914,-0.2981315656792462,0.02906647319920634,0.17805798415845675,0.05995148499919855,0.12617128815202358,0.1963019774354981,0.06394713834840354,-0.1974263923363326,0.08587639031851205
202006.txt, 4638, 0.43819926614082266,0.19412653310134426,0.4595138270825112,-0.19762111363855478,0.3649668410102368,0.18963026932983357,0.19052914822936395,0.1394152625116056,0.16702928133683798,0.23399087573964494,0.17395737875587491,-0.3452156150219729,0.032067562194723884,0.15667539776244907,0.07105021514726399,0.10687834827376742,0.21091529760092073,0.06071995540524247,-0.3053825046579934,0.07714046725868626
202007.txt, 4672, 0.5736114854229194,0.15624550663312475,0.4925433857058261,-0.22652288415820182,0.36599788944771716,0.16396960415469003,0.1954578586992988,0.15374888692106917,-0.029825572108058154,0.20113462666666662,0.21151488702920845,-0.5875167433330631,0.023475503879955364,0.19563498357636463,0.05281008625881259,0.12959350766637526,0.17027335507722233,0.0762287595342259,-0.22208334084354714,0.08774400140444703
202008.txt, 4661, 0.4041880994735302,0.16605223584867176,0.44897380033331724,-0.2974697243155573,0.26259229822991326,0.17765220004340673,0.11621546931643789,0.16081108204874583,0.23383306513837349,0.23198678518518517,0.18030028651411073,-0.26914188107537174,0.03794486102754768,0.12024273857990014,0.032673112010940544,0.067644156490969,0.1750841405567145,0.06966121021725956,-0.353342807021972,0.10347703983763973
202009.txt, 4711, 0.5745248248585746,0.15469580477985984,0.45212632261789865,-0.2767423470009254,0.2656756003878908,0.16272570457098678,0.14723127889673626,0.14836611230994215,0.3026408584020926,0.21384149655172413,0.12766707293022522,-0.24794066918643884,0.03198106188125876,0.13343192682930222,0.052129062889775604,0.07558767800809052,0.24167893683338004,0.07523169462022422,-0.18958618470155647,0.07719239472903403
202010.txt, 4748, 0.4373701466148062,0.19706304998947852,0.46447341332053405,-0.21179079313929555,0.2960567835834109,0.16926105194490043,0.1912780428081721,0.17869068961539802,0.14663823752309546,0.2455066101694915,0.23330452192808832,-0.5032826542866874,0.030051665494843803,0.2430540068971065,0.057268829073315305,0.09124986711236296,0.2653667181142212,0.08057177205355953,0.01092270429654592,0.08272984246504812
202011.txt, 4765, 0.311058773508765,0.15387601770463988,0.33100470885382527,-0.23970281082798214,0.3085305152357882,0.16245833869780596,0.18572753572664805,0.16279202294678996,0.10905882844492162,0.29929864137931034,0.35637058694552665,-0.25943897014426653,0.02148622419920687,0.18469804519177058,0.0642234292703627,0.10410345469397425,0.2693700134395481,0.0656638791067314,-0.26738096237445663,0.07361461360466413
202012.txt, 4586, -1.063056312193157,0.16464259983485122,0.5008136954245648,-0.26257327462163854,0.37880317337522373,0.14219985312654493,0.09440623483399468,0.135989622726722,0.20750445932869613,0.3275631812499999,0.38952763926199785,-0.1625976886175317,0.03479386769251496,0.15670130123049303,0.07666053502172646,0.06834066884769174,0.13458425277739278,0.04893992956288342,-0.12066587486429567,0.06295197896998679
