web-scraper-order,web-scraper-start-url,fact_checked organization,date,title,link,link-href,external link,external link-href
"1625072584-1210","https://www.poynter.org/ifcn-covid-19-misinformation/page/49/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Misbar","2020/04/21 | United States","FALSE: Riots in the American streets, after the collapse of the American economy due to the Covid-19 pandemic.","FALSE: Riots in the American streets, after the collapse of the American economy due to the Covid-19 pandemic.","https://www.poynter.org/?ifcn_misinformation=riots-in-the-american-streets-after-the-collapse-of-the-american-economy-due-to-the-covid-19-pandemic","Read the Full Article (Misbar)","https://misbar.com/factcheck/2020/04/21/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D8%B4%D8%BA%D8%A8-%D9%81%D9%8A-%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D8%A7-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%A7%D9%84%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A"
"1625073319-1428","https://www.poynter.org/ifcn-covid-19-misinformation/page/34/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/06/01 | United States","FALSE: “How many of you are aware that the female governor of Michigan is the niece of George Soros?”","FALSE: “How many of you are aware that the female governor of Michigan is the niece of George Soros?”","https://www.poynter.org/?ifcn_misinformation=how-many-of-you-are-aware-that-the-female-governor-of-michigan-is-the-niece-of-george-soros","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/jun/10/facebook-posts/no-gretchen-whitmer-isnt-george-soross-niece/"
"1625071171-789","https://www.poynter.org/ifcn-covid-19-misinformation/page/77/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: AFP","2020/03/09 | United States","False: Donating blood in the U.S. can get you a novel coronavirus test.","False: Donating blood in the U.S. can get you a novel coronavirus test.","https://www.poynter.org/?ifcn_misinformation=donating-blood-in-the-u-s-can-get-you-a-novel-coronavirus-test","Read the Full Article (AFP)","https://factcheck.afp.com/donating-blood-us-does-not-get-you-novel-coronavirus-test"
"1625071062-744","https://www.poynter.org/ifcn-covid-19-misinformation/page/80/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/03/01 | United States","False: Photo shows a man wearing a “government issued Saint Laurent hazardous materials suit.”","False: Photo shows a man wearing a “government issued Saint Laurent hazardous materials suit.”","https://www.poynter.org/?ifcn_misinformation=photo-shows-a-man-wearing-a-government-issued-saint-laurent-hazardous-materials-suit","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/mar/03/viral-image/photo-florida-intern-hazmat-suit-due-coronavirus-p/"
"1625074128-1698","https://www.poynter.org/ifcn-covid-19-misinformation/page/16/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: VoxCheck","2021/02/12 | Ukraine, United States","FALSE: The U.S. CDC confirmed that SARS-Cov-2 was never isolated.","FALSE: The U.S. CDC confirmed that SARS-Cov-2 was never isolated.","https://www.poynter.org/?ifcn_misinformation=the-u-s-cdc-confirmed-that-sars-cov-2-was-never-isolated","Read the Full Article (VoxCheck)","https://voxukraine.org/uk/fejk-amerikanski-cdc-pidtverdili-shho-virus-sars-cov-2-ne-vidilili/"
"1625074644-1902","https://www.poynter.org/ifcn-covid-19-misinformation/page/2/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Doğruluk Payı","2021/05/28 | Turkey, United States","FALSE: The number of women who had miscarriages in the UK after getting the COVID-19 vaccine increased by 366%.","FALSE: The number of women who had miscarriages in the UK after getting the COVID-19 vaccine increased by 366%.","https://www.poynter.org/?ifcn_misinformation=the-number-of-women-who-had-miscarriages-in-the-uk-after-getting-the-covid-19-vaccine-increased-by-366","Read the Full Article (Doğruluk Payı)","https://www.dogrulukpayi.com/dogrulama/ingiltere-de-covid-19-asisi-olduktan-sonra-dusuk-yapan-kadin-sayisinin-366-arttigi-iddiasi"
"1625073459-1466","https://www.poynter.org/ifcn-covid-19-misinformation/page/31/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: FactCheck.org","2020/06/24 | United States","FALSE: Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.","FALSE: Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.","https://www.poynter.org/?ifcn_misinformation=meme-shows-florida-surgeon-general-saying-everyone-should-stop-wearing-masks-as-they-have-now-been-found-to-be-harmful-to-your-health","Read the Full Article (FactCheck.org)","https://www.factcheck.org/2020/06/meme-misrepresents-florida-surgeon-generals-position-on-face-masks/"
"1625074701-1928","https://www.poynter.org/ifcn-covid-19-misinformation/page/1/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2021/06/20 | United States","FALSE: AstraZeneca means “weapon that kills.”","FALSE: AstraZeneca means “weapon that kills.”","https://www.poynter.org/?ifcn_misinformation=astrazeneca-means-weapon-that-kills","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2021/jun/21/viral-image/no-astrazeneca-doesnt-mean-weapon-kills/"
"1625073815-1572","https://www.poynter.org/ifcn-covid-19-misinformation/page/24/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Science Feedback","2020/10/19 | United States","FALSE: Anthony Fauci co-authored a study published in 2008 showing that Spanish flu deaths were due to bacterial pneumonia from wearing face masks","FALSE: Anthony Fauci co-authored a study published in 2008 showing that Spanish flu deaths were due to bacterial pneumonia from wearing face masks","https://www.poynter.org/?ifcn_misinformation=anthony-fauci-co-authored-a-study-published-in-2008-showing-that-spanish-flu-deaths-were-due-to-bacterial-pneumonia-from-wearing-face-masks","Read the Full Article (Science Feedback)","https://healthfeedback.org/claimreview/a-2008-study-co-authored-by-anthony-fauci-did-not-find-that-masks-caused-bacterial-pneumonia-contrary-to-viral-social-media-claim/"
"1625073494-1477","https://www.poynter.org/ifcn-covid-19-misinformation/page/31/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: AFP","2020/07/03 | France, United States","FALSE: Dangerous amounts of fetal DNA are found in vaccines, including future COVID-19 ones","FALSE: Dangerous amounts of fetal DNA are found in vaccines, including future COVID-19 ones","https://www.poynter.org/?ifcn_misinformation=dangerous-amounts-of-fetal-dna-are-found-in-vaccines-including-future-covid-19-ones","Read the Full Article (AFP)","https://factuel.afp.com/il-ny-pas-dadn-humain-dangereux-dans-les-vaccins"
"1625071937-1016","https://www.poynter.org/ifcn-covid-19-misinformation/page/61/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Taiwan FactCheck Center","2020/03/31 | Taiwan, United States, South Africa, Indonesia","FALSE: 59 people die as a pastor gave them Dettol disinfectant to drink to prevent coronavirus.","FALSE: 59 people die as a pastor gave them Dettol disinfectant to drink to prevent coronavirus.","https://www.poynter.org/?ifcn_misinformation=59-people-die-as-a-pastor-gave-them-dettol-disinfectant-to-drink-to-prevent-coronavirus","Read the Full Article (Taiwan FactCheck Center)","https://tfc-taiwan.org.tw/articles/3637"
"1625074190-1724","https://www.poynter.org/ifcn-covid-19-misinformation/page/14/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Check Your Fact","2021/03/05 | United States","FALSE: Only 9 percent of the American Rescue Plan “goes to the American people.”","FALSE: Only 9 percent of the American Rescue Plan “goes to the American people.”","https://www.poynter.org/?ifcn_misinformation=only-9-percent-of-the-american-rescue-plan-goes-to-the-american-people","Read the Full Article (Check Your Fact)","https://checkyourfact.com/2021/03/05/fact-check-9-percent-american-rescue-plan-goes-american-people/"
"1625071731-955","https://www.poynter.org/ifcn-covid-19-misinformation/page/66/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by:","2020/03/24 |",": Facebook posts featuring a photo of ventilators in the U.S. state of New York claim the devices are “stuck in a warehouse.”",": Facebook posts featuring a photo of ventilators in the U.S. state of New York claim the devices are “stuck in a warehouse.”","https://www.poynter.org/?ifcn_misinformation=facebook-posts-featuring-a-photo-of-ventilators-in-the-u-s-state-of-new-york-claim-the-devices-are-stuck-in-a-warehouse","Read the Full Article ()","https://www.poynter.org/?ifcn_misinformation=facebook-posts-featuring-a-photo-of-ventilators-in-the-u-s-state-of-new-york-claim-the-devices-are-stuck-in-a-warehouse"
"1625071569-907","https://www.poynter.org/ifcn-covid-19-misinformation/page/69/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/03/21 | United States","False: “If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.”","False: “If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.”","https://www.poynter.org/?ifcn_misinformation=if-you-are-in-las-vegas-and-you-get-a-knock-on-your-door-from-nv-power-2020-census-or-cvd-19-testers-do-not-open-your-door-they-are-robbing-people-at-gunpoint","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/beware-rumors-robbers-posing-covid-testers/"
"1625072784-1269","https://www.poynter.org/ifcn-covid-19-misinformation/page/45/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Taiwan FactCheck Center","2020/04/28 | Taiwan, Germany, United States, Turkey","FALSE: Japanese Nobel laureate Tasuku Honjo, who worked in Wuhan for four years, claimed that SARS-CoV-2 was human-made.","FALSE: Japanese Nobel laureate Tasuku Honjo, who worked in Wuhan for four years, claimed that SARS-CoV-2 was human-made.","https://www.poynter.org/?ifcn_misinformation=japanese-nobel-laureate-tasuku-honjo-who-worked-in-wuhan-for-four-years-claimed-that-sars-cov-2-was-human-made","Read the Full Article (Taiwan FactCheck Center)","https://tfc-taiwan.org.tw/articles/3795"
"1625072143-1076","https://www.poynter.org/ifcn-covid-19-misinformation/page/57/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/04/05 | United States","False: Hospital is caught using a dummy in pandemic footage.","False: Hospital is caught using a dummy in pandemic footage.","https://www.poynter.org/?ifcn_misinformation=hospital-is-caught-using-a-dummy-in-pandemic-footage","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/04/fact-check-hospital-caught-red-handed-using-dummies-in-pandemic-footage.html"
"1625073886-1596","https://www.poynter.org/ifcn-covid-19-misinformation/page/23/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/11/22 | United States","FALSE: North Carolina Gov. Roy Cooper’s “daughter is having a big wedding today. 500 people. Then going to lock you down on Monday.”","FALSE: North Carolina Gov. Roy Cooper’s “daughter is having a big wedding today. 500 people. Then going to lock you down on Monday.”","https://www.poynter.org/?ifcn_misinformation=north-carolina-gov-roy-coopers-daughter-is-having-a-big-wedding-today-500-people-then-going-to-lock-you-down-on-monday","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/nov/23/facebook-posts/no-daughter-north-carolina-gov-roy-cooper-didnt-ju/"
"1625074566-1871","https://www.poynter.org/ifcn-covid-19-misinformation/page/4/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2021/05/14 | United States","FALSE: Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.","FALSE: Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.","https://www.poynter.org/?ifcn_misinformation=merriam-webster-recently-changed-its-definition-of-anti-vaxxer-to-include-people-who-oppose-laws-that-mandate-vaccination","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2021/may/17/viral-image/no-merriam-webster-didnt-change-definition-anti-va/"
"1625072082-1058","https://www.poynter.org/ifcn-covid-19-misinformation/page/59/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/04/03 | United States","False: Says the U.S. is developing an “antivirus” that includes a chip to track your movement.","False: Says the U.S. is developing an “antivirus” that includes a chip to track your movement.","https://www.poynter.org/?ifcn_misinformation=says-the-u-s-is-developing-an-antivirus-that-includes-a-chip-to-track-your-movement","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/apr/03/facebook-posts/no-us-isnt-developing-vaccine-or-antivirus-chip-tr/"
"1625071398-856","https://www.poynter.org/ifcn-covid-19-misinformation/page/72/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/03/17 | United States","False: COVID-19 is a scripted narrative to justify closed borders or force residents to remain home.","False: COVID-19 is a scripted narrative to justify closed borders or force residents to remain home.","https://www.poynter.org/?ifcn_misinformation=covid-19-is-a-scripted-narrative-to-justify-closed-borders-or-force-residents-to-remain-home","Read the Full Article (LeadStories)","https://hoax-alert.leadstories.com/3471993-Fact-Check-COVID-19-NOT-A-Scripted-Narrative-To-Justify-Closed-Borders-Or-Force-Residents-To-Remain-Home.html"
"1625073924-1612","https://www.poynter.org/ifcn-covid-19-misinformation/page/22/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/12/08 | United States","FALSE: “You know what the biggest lie is, is that restaurants are spreaders of COVID. There’s no science for that.”","FALSE: “You know what the biggest lie is, is that restaurants are spreaders of COVID. There’s no science for that.”","https://www.poynter.org/?ifcn_misinformation=you-know-what-the-biggest-lie-is-is-that-restaurants-are-spreaders-of-covid-theres-no-science-for-that","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/dec/10/laura-ingraham/ingraham-wrongly-claims-no-science-suggests-restau/"
"1625072979-1328","https://www.poynter.org/ifcn-covid-19-misinformation/page/41/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Colombiacheck","2020/05/07 | Colombia, United States","FALSE: Two doctors in Bakersfield, California said at a press conference that isolation measures affect the immune system and that unrestrictive controls in countries like Sweden have worked.","FALSE: Two doctors in Bakersfield, California said at a press conference that isolation measures affect the immune system and that unrestrictive controls in countries like Sweden have worked.","https://www.poynter.org/?ifcn_misinformation=two-doctors-in-bakersfield-california-said-at-a-press-conference-that-isolation-measures-affect-the-immune-system-and-that-unrestrictive-controls-in-countries-like-sweden-have-worked","Read the Full Article (Colombiacheck)","https://colombiacheck.com/chequeos/video-de-medicos-californianos-que-hablan-de-coronavirus-esta-repleto-de-datos-falsos-e"
"1625074676-1916","https://www.poynter.org/ifcn-covid-19-misinformation/page/1/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: AFP","2021/06/11 | United States","FALSE: Sherri Tenpenny, an American physician named among the biggest “profiteers” from anti-vaccination misinformation, appears on a YouTube channel sharing claims about coronavirus shots.","FALSE: Sherri Tenpenny, an American physician named among the biggest “profiteers” from anti-vaccination misinformation, appears on a YouTube channel sharing claims about coronavirus shots.","https://www.poynter.org/?ifcn_misinformation=sherri-tenpenny-an-american-physician-named-among-the-biggest-profiteers-from-anti-vaccination-misinformation-appears-on-a-youtube-channel-sharing-claims-about-coronavirus-shots","Read the Full Article (AFP)","https://factcheck.afp.com/another-video-us-doctor-spreads-covid-19-vaccine-misinformation"
"1625071927-1014","https://www.poynter.org/ifcn-covid-19-misinformation/page/62/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/03/31 | United States","False: Coronavirus is caused by 5G.","False: Coronavirus is caused by 5G.","https://www.poynter.org/?ifcn_misinformation=coronavirus-is-caused-by-5g","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/04/Fact-Check-Coronavirus-NOT-Caused-By-5G-Tech-Created-By-Telecommunications-Giants.html"
"1625071343-839","https://www.poynter.org/ifcn-covid-19-misinformation/page/73/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/03/16 | United States","False: Dallas student celebrating spring break collapses from coronavirus.","False: Dallas student celebrating spring break collapses from coronavirus.","https://www.poynter.org/?ifcn_misinformation=dallas-student-celebrating-spring-break-collapses-from-coronavirus","Read the Full Article (LeadStories)","https://leadstories.com//3471927-Fact-Check-NO-Dallas-Student-Celebrating-Spring-Break-On-South-Padre-Island-Did-NOT-Suddenly-Collapse-From-Coronavirus.html"
"1625073994-1642","https://www.poynter.org/ifcn-covid-19-misinformation/page/20/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Science Feedback","2020/12/29 | United States","FALSE: Nashville bomber died from COVID-19","FALSE: Nashville bomber died from COVID-19","https://www.poynter.org/?ifcn_misinformation=nashville-bomber-died-from-covid-19","Read the Full Article (Science Feedback)","https://healthfeedback.org/claimreview/nashville-bomber-died-in-the-explosion-not-from-covid-19/"
"1625071596-914","https://www.poynter.org/ifcn-covid-19-misinformation/page/68/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Washington Post Fact-Checker","2020/03/21 | United States","FALSE: Biden campaign claims a top CDC official was “silenced.”","FALSE: Biden campaign claims a top CDC official was “silenced.”","https://www.poynter.org/?ifcn_misinformation=biden-campaign-claims-a-top-cdc-official-was-silenced","Read the Full Article (Washington Post Fact-Checker)","https://www.washingtonpost.com/politics/2020/03/24/biden-campaigns-false-claim-top-cdc-official-was-silenced/"
"1625072513-1188","https://www.poynter.org/ifcn-covid-19-misinformation/page/50/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/04/18 | United States","FALSE: Flu killed 80,000 people in the United States last year.","FALSE: Flu killed 80,000 people in the United States last year.","https://www.poynter.org/?ifcn_misinformation=flu-killed-80000-people-in-the-united-states-last-year","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/04/fact-check-the-flu-did-not-kill-80000-people-in-the-united-states-last-year.html"
"1625072973-1326","https://www.poynter.org/ifcn-covid-19-misinformation/page/41/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Washington Post Fact-Checker","2020/05/07 | United States","FALSE: Jimmy Kimmel tweeted a video which said VP Mike Pence carried empty PPE boxes.","FALSE: Jimmy Kimmel tweeted a video which said VP Mike Pence carried empty PPE boxes.","https://www.poynter.org/?ifcn_misinformation=jimmy-kimmel-tweeted-a-video-which-said-vp-mike-pence-carried-empty-ppe-boxes","Read the Full Article (Washington Post Fact-Checker)","https://www.washingtonpost.com/politics/2020/05/08/jimmy-kimmels-false-claim-that-pence-carried-empty-boxes/"
"1625072327-1132","https://www.poynter.org/ifcn-covid-19-misinformation/page/54/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/04/11 | United States","FALSE: House Resolution 6666 provides funds to forcibly removed people with COVID-19 from their homes as Dr. Rashid Buttar said.","FALSE: House Resolution 6666 provides funds to forcibly removed people with COVID-19 from their homes as Dr. Rashid Buttar said.","https://www.poynter.org/?ifcn_misinformation=house-resolution-6666-provides-funds-to-forcibly-removed-people-with-covid-19-from-their-homes-as-dr-rashid-buttar-said","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/05/fact-check-dr-rashid-buttar-urgent-full-disclosure-from-inside-hr-6666-is-coming-does-not-reveal-truth-about-bill.html"
"1625071903-1006","https://www.poynter.org/ifcn-covid-19-misinformation/page/62/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Science Feedback","2020/03/30 | United States","FALSE: Taking a flu shot causes false positive results on COVID-19 tests.","FALSE: Taking a flu shot causes false positive results on COVID-19 tests.","https://www.poynter.org/?ifcn_misinformation=taking-a-flu-shot-causes-false-positive-results-on-covid-19-tests","Read the Full Article (Science Feedback)","https://healthfeedback.org/claimreview/claim-that-flu-shot-causes-false-positive-results-on-covid-19-tests-is-unsupported-and-misleading/"
"1625074516-1852","https://www.poynter.org/ifcn-covid-19-misinformation/page/6/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: FactCheck.org","2021/05/03 | United States","FALSE: COVID-19 vaccine “shedding” causes reproductive issues in unvaccinated people.","FALSE: COVID-19 vaccine “shedding” causes reproductive issues in unvaccinated people.","https://www.poynter.org/?ifcn_misinformation=covid-19-vaccine-shedding-causes-reproductive-issues-in-unvaccinated-people-2","Read the Full Article (FactCheck.org)","https://www.factcheck.org/es/2021/05/scicheck-no-hay-base-cientifica-para-afirmar-excrecion-de-la-vacuna/"
"1625073136-1375","https://www.poynter.org/ifcn-covid-19-misinformation/page/38/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/05/14 | United States","FALSE: Research proves that commercial mouthwash could protect against COVID-19.","FALSE: Research proves that commercial mouthwash could protect against COVID-19.","https://www.poynter.org/?ifcn_misinformation=research-proves-that-commercial-mouthwash-could-protect-against-covid-19","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/05/fact-check-no-research-if-mouthwash-can-protect-against-covid-19.html"
"1625072414-1158","https://www.poynter.org/ifcn-covid-19-misinformation/page/52/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Chequeado","2020/04/14 | Argentina, China, United States, Israel","FALSE: Russia already has a vaccine to fight COVID-19.","FALSE: Russia already has a vaccine to fight COVID-19.","https://www.poynter.org/?ifcn_misinformation=russia-already-has-a-vaccine-to-fight-covid-19","Read the Full Article (Chequeado)","https://chequeado.com/verificacionfb/no-rusia-no-tiene-una-vacuna-lista-para-combatir-la-covid-19/"
"1625074066-1672","https://www.poynter.org/ifcn-covid-19-misinformation/page/18/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2021/01/26 | United States","FALSE: Masks have negative impacts on 68% of children.","FALSE: Masks have negative impacts on 68% of children.","https://www.poynter.org/?ifcn_misinformation=masks-have-negative-impacts-on-68-of-children","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2021/jan/29/instagram-posts/no-masks-dont-have-negative-effects-68-children/"
"1625074431-1819","https://www.poynter.org/ifcn-covid-19-misinformation/page/8/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: StopFake.org","2021/04/20 | Ukraine, United States","FALSE: COVID-19 is not found in samples, US laboratories filed lawsuit against CDC","FALSE: COVID-19 is not found in samples, US laboratories filed lawsuit against CDC","https://www.poynter.org/?ifcn_misinformation=covid-19-is-not-found-in-samples-us-laboratories-filed-lawsuit-against-cdc","Read the Full Article (StopFake.org)","https://www.stopfake.org/ru/fejk-covid-19-ne-obnaruzhen-v-probah-laboratorii-ssha-podali-v-sud-na-cdc/"
"1625071509-889","https://www.poynter.org/ifcn-covid-19-misinformation/page/70/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: AFP","2020/03/19 | United States","False: A video of US President Donald Trump and a top US pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple Facebook, Twitter and YouTube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus, COVID-19, was “ready” to be administered.","False: A video of US President Donald Trump and a top US pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple Facebook, Twitter and YouTube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus, COVID-19, was “ready” to be administered.","https://www.poynter.org/?ifcn_misinformation=a-video-of-us-president-donald-trump-and-a-top-us-pharmaceutical-executive-speaking-at-a-press-conference-has-been-viewed-thousands-of-times-in-multiple-facebook-twitter-and-youtube-posts-alongside-a","Read the Full Article (AFP)","https://factcheck.afp.com/us-president-donald-trump-did-not-announce-coronavirus-vaccine-was-ready"
"1625071346-840","https://www.poynter.org/ifcn-covid-19-misinformation/page/73/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/03/16 | United States","False: Claim that Dr. Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.”","False: Claim that Dr. Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.”","https://www.poynter.org/?ifcn_misinformation=claim-that-dr-anthony-faucis-statement-that-the-coronavirus-death-rate-is-10-times-that-of-the-seasonal-flu-is-a-claim-without-any-scientific-basis","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/mar/18/ron-paul/ron-paul-wrong-say-no-basis-coronavirus-death-rate/"
"1625074000-1645","https://www.poynter.org/ifcn-covid-19-misinformation/page/20/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Correctiv","2020/12/30 | Germany, United States","FALSE: Kamala Harris was vaccinated with a syringe without needle","FALSE: Kamala Harris was vaccinated with a syringe without needle","https://www.poynter.org/?ifcn_misinformation=kamala-harris-was-vaccinated-with-a-syringe-without-needle","Read the Full Article (Correctiv)","https://correctiv.org/faktencheck/2021/01/06/kamala-harris-wurde-gegen-covid-19-geimpft-mit-einer-spritze-mit-nadel/"
"1625071955-1022","https://www.poynter.org/ifcn-covid-19-misinformation/page/61/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/03/31 | United States","FALSE: If you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says “the government planned” it.","FALSE: If you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says “the government planned” it.","https://www.poynter.org/?ifcn_misinformation=if-you-ask-amazons-alexa-about-the-origin-of-the-coronavirus-pandemic-it-says-the-government-planned-it","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/apr/16/facebook-posts/no-amazons-alexa-doesnt-say-government-planned-cor/"
